Name,Gender,Age,Department,"Job Title"
"中津川 直子",female,28,設計,主任
"青田 康弘",male,21,設計,主任
"中村 京助",male,39,設計,主任
"坂本 直子",female,39,設計,主任
"中村 治",male,31,設計,社員
"青山 浩",male,33,設計,社員
"佐々木 美加子",female,35,設計,社員
"田辺 加奈",female,30,設計,社員
"田辺 晃",male,38,設計,社員
"斉藤 稔",male,42,設計,社員
"工藤 知実",female,45,設計,社員
"西之園 翼",male,47,設計,社員
"鈴木 加奈",female,44,設計,社員
"伊藤 太郎",male,42,設計,社員
"小泉 治",male,42,設計,社員
"近藤 裕美子",female,48,設計,社員
"江古田 聡太郎",male,40,設計,社員
"中島 亮介",male,47,設計,社員
"村山 千代",female,58,設計,社員
"山岸 裕太",male,59,設計,社員
"佐々木 洋介",male,56,設計,社員
"山田 翔太",male,55,設計,社員
"田中 裕美子",female,53,設計,社員
"笹田 花子",female,50,設計,社員
"佐藤 稔",male,59,設計,社員
"若松 千代",female,58,設計,社員
"江古田 太郎",male,54,設計,社員
"山本 学",male,57,設計,社員
"山田 舞",female,51,設計,社員
"吉本 充",male,58,設計,社員
"小泉 英樹",male,58,設計,社員
"加納 英樹",male,59,設計,社員
"松本 あすか",female,60,設計,社員
"松本 京助",male,61,設計,社員
"山口 晃",male,64,設計,社員
"江古田 洋介",male,68,設計,社員
"近藤 里佳",female,65,設計,社員
"江古田 明美",female,60,設計,社員
"廣川 千代",female,64,設計,社員
"佐藤 七夏",female,63,設計,社員
